client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score
38,"Hubbard, Obrien and Davis",Corporate,Real Estate,Medium,VE,0,0,0,1,0,0.5
39,White-Scott,NGO,NGO/Charity,High,FR,0,0,0,0,0,0.0
40,Fowler and Sons,Individual,Real Estate,Medium,RU,0,0,0,1,0,0.0
41,"May, Jennings and Downs",Corporate,Casino/Gambling,High,NL,0,0,0,0,0,0.0
42,"Gates, Hicks and Frazier",Corporate,Crypto Exchange,High,NL,0,0,0,0,0,0.0
43,"Cox, Peck and Miranda",NGO,Crypto Exchange,High,SY,0,0,0,1,0,0.0
44,"Wilson, Garcia and Daniels",NGO,Real Estate,Medium,US,1,0,0,0,0,0.0
45,"Ryan, Lawson and Harris",Corporate,Financial Services,Medium,KP,0,0,1,1,1,0.0
46,"Castro, Manning and Berry",NGO,Retail,Low,NL,0,0,0,0,0,0.0
47,Rodriguez Ltd,NGO,NGO/Charity,High,DE,0,0,0,0,0,0.0
48,Hill-Luna,Financial Institution,Financial Services,Medium,KP,0,0,1,1,1,0.0
49,"Russell, Bradley and Ryan",Individual,Defense/Arms,High,AF,0,0,0,0,1,0.0
50,Nelson-Alexander,NGO,Real Estate,Medium,SY,0,0,0,1,0,0.0
51,"Eaton, Hurley and Mullins",Individual,Casino/Gambling,High,AU,0,0,0,0,0,0.0
52,Gray-Sanford,Financial Institution,Defense/Arms,High,FR,0,0,0,0,1,0.0
53,Johnson LLC,Individual,Defense/Arms,High,IR,0,0,1,1,1,0.0
54,"Ramos, Keller and Rodgers",Corporate,NGO/Charity,High,AF,0,0,0,0,0,0.5
55,Rivera-Guzman,NGO,Defense/Arms,High,SD,0,0,0,1,1,0.5
56,Buckley-Goodman,Financial Institution,Defense/Arms,High,CN,0,0,0,0,1,0.0
57,"Snyder, Hines and Thompson",Financial Institution,Retail,Low,SY,0,0,0,1,0,0.0
58,"Davis, Ballard and Schmidt",Individual,Import/Export,Medium,AF,0,0,0,0,0,0.0
59,Tran-Novak,NGO,Consulting,Low,DE,0,0,0,0,0,0.0
60,Cooke-James,Individual,Defense/Arms,High,VE,0,0,0,1,1,0.0
61,Lee and Sons,Financial Institution,Retail,Low,CH,0,0,0,0,0,0.0
62,Fernandez-Brewer,Individual,Retail,Low,US,0,0,0,0,0,0.0
63,Powell-Santiago,NGO,NGO/Charity,High,LB,0,0,0,0,0,0.0
64,"Wilson, Cook and Miller",Individual,Import/Export,Medium,KP,0,0,1,1,0,0.0
65,Allen PLC,NGO,Consulting,Low,VE,0,0,0,1,0,0.0
66,Mills-Browning,Financial Institution,Defense/Arms,High,CH,0,0,0,0,1,0.0
67,"Kim, Gibbs and Cardenas",Corporate,Retail,Low,NL,0,0,0,0,0,0.5
68,Vaughan and Sons,NGO,Real Estate,Medium,UK,1,0,0,0,0,0.0
69,Juarez PLC,Individual,Financial Services,Medium,AF,0,0,0,0,1,0.0
70,Lewis-Allen,NGO,Defense/Arms,High,AE,0,0,0,0,1,0.0
71,"Hawkins, Harris and Peters",Corporate,Casino/Gambling,High,CN,0,0,0,0,0,0.5
72,Smith Group,Financial Institution,Tech,Low,JP,0,0,0,0,0,0.0
73,Gomez-Mason,NGO,Consulting,Low,US,0,0,0,0,0,0.0
74,"Sutton, Wright and Maxwell",NGO,Casino/Gambling,High,CH,0,0,0,0,0,0.0
75,"Hunter, Green and Gardner",NGO,Casino/Gambling,High,SY,0,0,0,1,0,0.0
76,Jarvis and Sons,Individual,Consulting,Low,FR,0,0,0,0,0,0.0
77,"Kelly, Johnson and Brooks",Financial Institution,Financial Services,Medium,DE,0,0,0,0,1,0.0
78,"Roach, Thomas and Richardson",Corporate,Crypto Exchange,High,SD,0,0,0,1,0,0.5
79,Roberson-Medina,NGO,Financial Services,Medium,UK,0,0,0,0,1,1.0
80,Wallace Ltd,Financial Institution,Retail,Low,US,0,0,0,0,0,0.0
81,"Lynch, Calderon and Glover",Individual,NGO/Charity,High,AE,0,0,0,0,0,0.0
82,Walker-Norman,NGO,Energy/Oil,High,VE,1,0,0,1,1,0.0
83,"Moore, Gardner and Bray",Individual,NGO/Charity,High,IR,0,0,1,1,0,0.0
84,Moreno-Sanders,Individual,Financial Services,Medium,IN,0,0,0,0,1,0.0
85,Myers-Wood,NGO,Import/Export,Medium,AU,0,0,0,0,0,0.0
86,Gibson-Nunez,Financial Institution,Casino/Gambling,High,FR,0,0,0,0,0,0.0
87,Weiss PLC,NGO,Energy/Oil,High,IN,0,0,0,0,1,0.5
88,Richards-Burns,Corporate,Real Estate,Medium,SG,0,0,0,0,0,0.5
89,"Hoffman, Bailey and Tate",Corporate,Import/Export,Medium,US,0,0,0,0,0,0.0
90,Garcia-Baker,Financial Institution,Crypto Exchange,High,IR,0,0,1,1,0,0.0
91,Richardson-Richardson,Individual,Import/Export,Medium,AF,0,0,0,0,0,0.0
92,Foster Inc,NGO,Retail,Low,JP,0,0,0,0,0,0.5
93,"Moreno, Reyes and Wright",Individual,Import/Export,Medium,SY,0,0,0,1,0,0.0
94,"Lewis, Welch and Charles",Individual,Retail,Low,NL,0,1,0,0,0,0.0
95,"Jenkins, Harper and Edwards",Individual,Real Estate,Medium,SD,0,0,0,1,0,0.0
96,Young Inc,Financial Institution,Import/Export,Medium,VE,0,0,0,1,0,0.0
97,Powell-Johnson,NGO,Energy/Oil,High,SY,0,1,0,1,1,1.0
98,Clarke LLC,Corporate,NGO/Charity,High,SG,0,0,0,0,0,0.0
99,Ford-Chen,Individual,Casino/Gambling,High,AF,0,0,0,0,0,0.0
100,"Moore, Joyce and Morrison",Financial Institution,NGO/Charity,High,CH,0,0,0,0,0,0.0
101,"Jones, Smith and Kent",Corporate,NGO/Charity,High,VE,0,0,0,1,0,0.0
102,Munoz-Zuniga,Financial Institution,Consulting,Low,SG,0,0,0,0,0,0.0
103,"Martin, Cooper and Coleman",Individual,Casino/Gambling,High,CA,0,0,0,0,0,0.0
104,"Hudson, Monroe and Pierce",Financial Institution,NGO/Charity,High,AU,0,0,0,0,0,0.0
105,Schmidt Inc,Corporate,Real Estate,Medium,AE,0,0,0,0,0,0.5
106,"Conner, Carter and Yang",Financial Institution,Import/Export,Medium,LB,0,0,0,0,0,0.0
107,"Mckinney, Torres and Stewart",Financial Institution,Defense/Arms,High,RU,0,0,0,1,1,0.0
108,Castro-Nguyen,Individual,Real Estate,Medium,IR,0,0,1,1,0,0.0
109,Johnson Inc,Corporate,Defense/Arms,High,AE,0,0,0,0,1,0.0
110,Kelley-Klein,Financial Institution,Financial Services,Medium,SG,0,0,0,0,1,0.0
111,Marshall Inc,NGO,Real Estate,Medium,CN,0,0,0,0,0,0.0
112,Little Inc,NGO,Retail,Low,FR,0,0,0,0,0,0.0
113,Wang-Fletcher,Corporate,Consulting,Low,AE,0,0,0,0,0,1.0
114,"Cherry, Watson and Rich",Individual,Tech,Low,AU,0,0,0,0,0,0.0
115,Bartlett Group,Individual,NGO/Charity,High,SG,0,0,0,0,0,0.0
116,Gibson-Bird,NGO,Financial Services,Medium,VE,0,0,0,1,1,1.0
117,Lee-Olson,Corporate,Real Estate,Medium,VE,1,0,0,1,0,0.0
118,Ortega-Acevedo,Corporate,NGO/Charity,High,SD,0,0,0,1,0,0.0
119,Dickson PLC,NGO,Tech,Low,DE,0,0,0,0,0,0.0
120,"Contreras, Ferguson and Hunt",Financial Institution,Financial Services,Medium,RU,0,0,0,1,1,0.0
121,Phillips PLC,Corporate,Defense/Arms,High,IN,0,0,0,0,1,1.0
122,Patel-White,Financial Institution,Casino/Gambling,High,SY,0,0,0,1,0,0.0
123,Stevens-Gray,NGO,Casino/Gambling,High,US,0,0,0,0,0,0.5
124,Smith and Sons,Financial Institution,Real Estate,Medium,RU,0,0,0,1,0,0.0
125,"Kim, Mccoy and Moore",NGO,Retail,Low,AF,0,0,0,0,0,0.0
126,"Adkins, Rose and Huber",Individual,Consulting,Low,JP,0,0,0,0,0,0.0
127,Hill Group,Corporate,Financial Services,Medium,SG,0,0,0,0,1,1.0
128,Acosta and Sons,Financial Institution,Crypto Exchange,High,KP,0,0,1,1,0,0.0
129,"Walker, Palmer and Dawson",NGO,Retail,Low,LB,0,0,0,0,0,0.0
130,Vargas and Sons,Financial Institution,Import/Export,Medium,IR,1,0,1,1,0,0.0
131,Boone Ltd,Corporate,Real Estate,Medium,SD,0,0,0,1,0,0.0
132,Holmes Ltd,Individual,Consulting,Low,CN,0,0,0,0,0,0.0
133,Landry PLC,Financial Institution,Energy/Oil,High,SG,0,0,0,0,1,0.0
134,Boyd LLC,Financial Institution,Crypto Exchange,High,SY,0,0,0,1,0,0.0
135,Wallace LLC,NGO,Energy/Oil,High,FR,0,0,0,0,1,0.0
136,Myers PLC,NGO,Casino/Gambling,High,SG,0,0,0,0,0,0.0
137,Walsh-Weber,Individual,Import/Export,Medium,CA,0,0,0,0,0,0.0
138,Jimenez Ltd,Individual,NGO/Charity,High,SD,0,0,0,1,0,0.0
139,Ramos LLC,Individual,Tech,Low,JP,0,0,0,0,0,0.0
140,"Campbell, Miller and Sweeney",Financial Institution,Consulting,Low,IR,0,0,1,1,0,0.0
141,"Washington, Dean and Moon",Financial Institution,Import/Export,Medium,US,0,0,0,0,0,0.0
142,Phillips-Williams,Financial Institution,Real Estate,Medium,AF,0,0,0,0,0,0.0
143,Campbell Group,Corporate,Real Estate,Medium,DE,0,0,0,0,0,0.0
144,Reed Inc,Financial Institution,Tech,Low,IN,0,0,0,0,0,0.0
145,"Lawson, Simpson and Lawson",Corporate,Import/Export,Medium,AF,0,0,0,0,0,0.5
146,Adams Ltd,NGO,Tech,Low,NL,0,0,0,0,0,0.5
147,Young and Sons,Corporate,Energy/Oil,High,RU,0,0,0,1,1,0.5
148,Orozco-Moore,NGO,Real Estate,Medium,AF,0,0,0,0,0,0.0
149,Hughes Group,Individual,Retail,Low,SD,0,0,0,1,0,0.0
150,Hinton-Murillo,Financial Institution,Retail,Low,IR,0,0,1,1,0,0.0
151,"Dean, Baker and Allen",Corporate,Casino/Gambling,High,AE,0,0,0,0,0,0.5
152,Hansen Group,Financial Institution,Energy/Oil,High,CH,0,0,0,0,1,0.0
153,Henderson LLC,Corporate,Tech,Low,AU,0,0,0,0,0,1.0
154,"Mendoza, Pope and Johnson",Corporate,Financial Services,Medium,CH,1,0,0,0,1,0.5
155,Mercado Group,NGO,Crypto Exchange,High,FR,0,0,0,0,0,0.0
156,Briggs-Davis,Financial Institution,Tech,Low,US,0,0,0,0,0,0.0
157,"Cook, Lewis and Summers",Financial Institution,Crypto Exchange,High,AE,0,0,0,0,0,0.0
158,Stevens Inc,Individual,Import/Export,Medium,CA,0,0,0,0,0,0.0
159,"Warren, Brock and Lee",Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0.0
160,Fields-Tran,Individual,Tech,Low,KP,0,0,1,1,0,0.0
161,Martin Inc,Individual,Casino/Gambling,High,CN,0,0,0,0,0,0.0
162,Hogan and Sons,Financial Institution,Real Estate,Medium,US,0,0,0,0,0,0.0
163,Thomas-Schwartz,Financial Institution,Consulting,Low,NL,0,0,0,0,0,0.0
164,Beltran and Sons,NGO,Consulting,Low,US,0,1,0,0,0,0.5
165,Walsh-Harvey,Corporate,Real Estate,Medium,IR,0,0,1,1,0,0.5
166,Ward-Brooks,NGO,Real Estate,Medium,VE,0,0,0,1,0,0.0
167,Hudson PLC,NGO,Financial Services,Medium,AU,0,0,0,0,1,0.0
168,Garcia-King,Corporate,Consulting,Low,SD,0,0,0,1,0,0.0
169,Lopez-Kennedy,Corporate,Defense/Arms,High,UK,0,0,0,0,1,0.0
170,Dalton LLC,Financial Institution,Retail,Low,JP,0,0,0,0,0,0.0
171,"Ramirez, Banks and Mendoza",Financial Institution,Crypto Exchange,High,SD,0,0,0,1,0,0.0
172,"Smith, Nguyen and Stokes",Individual,Financial Services,Medium,CH,0,0,0,0,1,0.0
173,Keith-Wagner,Corporate,Import/Export,Medium,UK,0,0,0,0,0,0.0
174,Williams-Logan,Individual,NGO/Charity,High,AF,0,0,0,0,0,0.0
175,Jennings and Sons,NGO,Crypto Exchange,High,JP,0,0,0,0,0,0.0
176,Bruce-Maynard,Individual,Casino/Gambling,High,RU,0,0,0,1,0,0.0
177,Kennedy-Mckinney,Financial Institution,Tech,Low,AF,0,0,0,0,0,0.0
178,Gordon-Ball,Individual,Casino/Gambling,High,CN,0,0,0,0,0,0.0
179,Mccarthy-Phillips,Financial Institution,NGO/Charity,High,IR,1,0,1,1,0,0.0
180,Rodriguez Inc,Individual,Consulting,Low,VE,0,0,0,1,0,0.0
181,"Pierce, Wilson and Pugh",NGO,Consulting,Low,FR,0,0,0,0,0,0.5
182,Hunt and Sons,Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0.0
183,Hernandez-Reyes,Financial Institution,Financial Services,Medium,AU,0,0,0,0,1,0.0
184,"Smith, Vaughan and Rogers",NGO,Crypto Exchange,High,SY,0,0,0,1,0,0.0
185,Hodges LLC,Financial Institution,Consulting,Low,KP,0,0,1,1,0,0.0
186,Miller and Sons,Financial Institution,Financial Services,Medium,JP,0,0,0,0,1,0.0
187,Weaver Inc,Financial Institution,Retail,Low,CA,0,0,0,0,0,0.0
188,Klein-Sanders,Individual,Defense/Arms,High,CH,0,0,0,0,1,0.0
189,Hernandez-Ortega,NGO,Energy/Oil,High,UK,1,0,0,0,1,0.0
190,"Jenkins, Knox and Powell",Individual,Consulting,Low,CA,0,0,0,0,0,0.0
191,Shields Group,Financial Institution,Defense/Arms,High,JP,0,0,0,0,1,0.0
192,Buck-Martin,Corporate,Casino/Gambling,High,DE,0,0,0,0,0,0.0
193,Rodriguez Group,NGO,Real Estate,Medium,LB,0,0,0,0,0,0.0
194,Simmons PLC,Financial Institution,Real Estate,Medium,KP,0,0,1,1,0,0.0
195,Bailey-West,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0.0
196,Nichols Group,NGO,Consulting,Low,KP,0,0,1,1,0,0.0
197,"Brown, Alexander and Ramsey",Corporate,Crypto Exchange,High,SD,0,0,0,1,0,0.0
198,White-Cannon,Corporate,Retail,Low,KP,0,0,1,1,0,0.0
199,Mccullough Group,Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0.0
200,Mccall LLC,NGO,Financial Services,Medium,US,0,0,0,0,1,0.0
201,"Mcmillan, Lopez and Silva",Financial Institution,Crypto Exchange,High,AF,0,0,0,0,0,0.0
202,"Fox, Davis and Riley",Corporate,Consulting,Low,RU,0,0,0,1,0,0.0
203,Harrison PLC,NGO,Retail,Low,IR,0,0,1,1,0,0.5
204,Gallagher-Espinoza,Corporate,Import/Export,Medium,VE,1,0,0,1,0,1.0
205,Adams PLC,NGO,Defense/Arms,High,IR,0,0,1,1,1,0.0
206,Fletcher-Knight,Financial Institution,Tech,Low,CH,0,0,0,0,0,0.0
207,Cobb Inc,Financial Institution,Tech,Low,JP,0,0,0,0,0,0.0
208,Walker and Sons,Individual,Financial Services,Medium,SD,1,0,0,1,1,0.0
209,"Green, Edwards and Washington",NGO,Tech,Low,IN,0,0,0,0,0,1.0
210,Phillips-Howard,NGO,NGO/Charity,High,AF,0,0,0,0,0,0.0
211,"Kane, Howell and Waller",Corporate,Energy/Oil,High,AF,0,0,0,0,1,0.0
212,Wolf-King,NGO,Import/Export,Medium,CH,0,0,0,0,0,0.5
213,"Morris, Jackson and Jones",Financial Institution,Financial Services,Medium,IR,0,0,1,1,1,0.0
214,"Edwards, Deleon and Horn",Corporate,Defense/Arms,High,RU,0,0,0,1,1,0.0
215,Moss-Wells,Corporate,Financial Services,Medium,SY,0,0,0,1,1,0.5
216,Smith Group,Corporate,Defense/Arms,High,AU,0,0,0,0,1,0.0
217,"Nelson, Martinez and Callahan",NGO,Real Estate,Medium,SD,0,0,0,1,0,1.0
218,Lambert-Simmons,Financial Institution,Consulting,Low,IN,0,0,0,0,0,0.0
219,Page PLC,Individual,NGO/Charity,High,AU,1,0,0,0,0,0.0
220,Woods Group,Individual,Import/Export,Medium,SG,0,0,0,0,0,0.0
221,Griffin-Brooks,Corporate,Energy/Oil,High,CA,0,0,0,0,1,0.0
222,Lee-Stewart,Individual,Consulting,Low,VE,0,0,0,1,0,0.0
223,Simmons-Keller,NGO,Defense/Arms,High,SY,0,0,0,1,1,0.0
224,"Moses, Hoover and Roberson",Financial Institution,Casino/Gambling,High,AE,0,0,0,0,0,0.0
225,Kirby PLC,Individual,NGO/Charity,High,SD,0,0,0,1,0,0.0
226,Adams-Davis,Individual,Tech,Low,LB,0,0,0,0,0,0.0
227,"Martinez, Schmidt and Collins",Individual,Crypto Exchange,High,SG,0,0,0,0,0,0.0
228,Williams Group,Corporate,Financial Services,Medium,IN,0,0,0,0,1,0.0
229,Pittman-Hughes,Corporate,Defense/Arms,High,IN,0,0,0,0,1,0.0
230,Hernandez-Campbell,Financial Institution,NGO/Charity,High,DE,0,0,0,0,0,0.0
231,"Dean, King and Shea",Individual,Defense/Arms,High,IR,0,0,1,1,1,0.0
232,"Black, Harvey and Mcfarland",Financial Institution,Defense/Arms,High,SY,0,0,0,1,1,0.0
233,Thompson Inc,Individual,NGO/Charity,High,IR,1,0,1,1,0,0.0
234,Kelley-Gonzalez,Corporate,Tech,Low,AF,0,0,0,0,0,0.0
235,"Cook, Abbott and Williams",NGO,Consulting,Low,KP,0,0,1,1,0,1.0
236,Wallace LLC,Financial Institution,Defense/Arms,High,RU,1,0,0,1,1,0.0
237,Davis Ltd,Financial Institution,Defense/Arms,High,KP,0,0,1,1,1,0.0
238,Cooper Ltd,Individual,Real Estate,Medium,AU,0,0,0,0,0,0.0
239,Adams Group,NGO,Consulting,Low,RU,0,0,0,1,0,0.0
240,Velazquez-Davis,Individual,Defense/Arms,High,CA,0,0,0,0,1,0.0
241,Jones Inc,NGO,Defense/Arms,High,FR,0,0,0,0,1,0.0
242,Orr Inc,Corporate,NGO/Charity,High,JP,0,0,0,0,0,0.5
243,Thompson-Castro,Corporate,Retail,Low,RU,0,0,0,1,0,0.0
244,Holt-Finley,Individual,Defense/Arms,High,CH,0,0,0,0,1,0.0
245,Butler-Lozano,Individual,Casino/Gambling,High,SY,0,0,0,1,0,0.0
246,Ferguson Group,Individual,Real Estate,Medium,AU,0,0,0,0,0,0.0
247,"Bush, Luna and Benson",Corporate,Energy/Oil,High,FR,0,0,0,0,1,0.5
248,"Horton, Hampton and Riley",NGO,Import/Export,Medium,UK,0,0,0,0,0,0.5
249,Lewis-Walker,NGO,Financial Services,Medium,CA,0,0,0,0,1,0.0
250,"Lee, Vargas and Anderson",Individual,Real Estate,Medium,SY,0,0,0,1,0,0.0
251,"Shea, Hess and Harper",NGO,Retail,Low,JP,0,0,0,0,0,0.0
252,Davis-Salinas,Corporate,Retail,Low,SD,0,0,0,1,0,0.0
253,Mcgee PLC,Individual,Defense/Arms,High,IR,0,0,1,1,1,0.0
254,Saunders-Contreras,Financial Institution,Energy/Oil,High,KP,0,1,1,1,1,0.0
255,"Simpson, Taylor and David",Corporate,Retail,Low,VE,0,0,0,1,0,1.0
256,Hill-Greer,Financial Institution,Retail,Low,RU,0,0,0,1,0,0.0
257,Reid Group,Corporate,Defense/Arms,High,AE,0,0,0,0,1,0.0
258,Mejia-Rivera,Individual,NGO/Charity,High,IR,0,0,1,1,0,0.0
259,Harris and Sons,Financial Institution,Retail,Low,CN,0,0,0,0,0,0.0
260,Lozano-Thompson,Financial Institution,Casino/Gambling,High,SD,0,0,0,1,0,0.0
261,Martin-Pitts,Corporate,Energy/Oil,High,SG,0,0,0,0,1,0.0
262,Douglas-Robbins,Corporate,Tech,Low,SG,0,0,0,0,0,0.5
263,Alvarez-Obrien,Individual,NGO/Charity,High,AE,0,0,0,0,0,0.0
264,Smith Ltd,Financial Institution,Retail,Low,AU,0,0,0,0,0,0.0
265,Murphy LLC,Individual,Tech,Low,CA,0,0,0,0,0,0.0
266,Schroeder-Hall,Individual,Energy/Oil,High,CA,0,0,0,0,1,0.0
267,Bass-Matthews,Financial Institution,Casino/Gambling,High,IR,0,0,1,1,0,0.0
268,"Berry, Gutierrez and Todd",NGO,Retail,Low,LB,0,0,0,0,0,0.0
269,Phelps-Burns,Corporate,Financial Services,Medium,AU,0,0,0,0,1,0.0
270,Mendoza LLC,Individual,Real Estate,Medium,US,0,0,0,0,0,0.0
271,Washington Inc,Corporate,Casino/Gambling,High,AF,0,0,0,0,0,0.0
272,Figueroa LLC,Individual,Real Estate,Medium,SD,0,0,0,1,0,0.0
273,"Marsh, Carson and Alexander",Corporate,Crypto Exchange,High,NL,0,0,0,0,0,0.0
274,Boyer LLC,NGO,Crypto Exchange,High,VE,0,0,0,1,0,0.0
275,Crawford Group,Corporate,NGO/Charity,High,CA,0,0,0,0,0,0.0
276,Patel Inc,Financial Institution,Energy/Oil,High,VE,0,0,0,1,1,0.0
277,"Lewis, Moreno and Tucker",NGO,Crypto Exchange,High,AU,0,0,0,0,0,0.0
278,Delgado LLC,NGO,Energy/Oil,High,DE,0,0,0,0,1,0.0
279,Lambert-Terry,NGO,Import/Export,Medium,VE,0,0,0,1,0,1.0
280,"Valentine, Floyd and Griffin",Corporate,Defense/Arms,High,CH,0,0,0,0,1,0.0
281,Wright LLC,NGO,Energy/Oil,High,RU,0,0,0,1,1,0.0
282,"Carey, Holland and Anderson",Individual,Crypto Exchange,High,UK,0,0,0,0,0,0.0
283,"Adams, Charles and Williams",Financial Institution,Casino/Gambling,High,IN,0,0,0,0,0,0.0
284,"Horton, Taylor and Vasquez",Individual,Retail,Low,FR,0,0,0,0,0,0.0
285,Young-Gilbert,Corporate,Import/Export,Medium,NL,0,0,0,0,0,0.5
286,Hall-Cook,Financial Institution,Tech,Low,NL,0,0,0,0,0,0.0
287,"Webster, Hall and Tyler",Corporate,Consulting,Low,UK,0,0,0,0,0,0.0
288,Garza-Yates,NGO,Energy/Oil,High,DE,1,0,0,0,1,0.0
289,Lewis Inc,Financial Institution,Retail,Low,AF,0,0,0,0,0,0.0
290,Walker-Marshall,NGO,Energy/Oil,High,CH,0,0,0,0,1,0.0
291,Garcia-Jacobs,Individual,Retail,Low,NL,0,0,0,0,0,0.0
292,Moreno-Mcgee,Individual,Defense/Arms,High,SG,0,0,0,0,1,0.0
293,Stephens Ltd,Individual,Casino/Gambling,High,NL,0,0,0,0,0,0.0
294,Sanchez Group,Corporate,Defense/Arms,High,UK,0,0,0,0,1,0.0
295,Nelson-Yang,NGO,Crypto Exchange,High,KP,0,0,1,1,0,0.0
296,Nguyen-Payne,Financial Institution,Crypto Exchange,High,US,0,0,0,0,0,0.0
297,Jacobson Inc,NGO,Import/Export,Medium,CN,1,0,0,0,0,0.0
298,"Stein, Harvey and Patton",Corporate,Crypto Exchange,High,SY,0,0,0,1,0,0.5
299,"Lane, Rangel and Villegas",Corporate,Financial Services,Medium,SD,0,0,0,1,1,0.5
300,"Austin, Gray and Moyer",Individual,Energy/Oil,High,CA,0,0,0,0,1,0.0
301,Lynch LLC,NGO,Import/Export,Medium,JP,0,0,0,0,0,0.5
302,"Barker, Beard and Benton",Corporate,Consulting,Low,IR,0,0,1,1,0,0.0
303,Mcdonald and Sons,Corporate,Crypto Exchange,High,SY,0,0,0,1,0,0.0
304,Miller Group,NGO,Tech,Low,IN,0,0,0,0,0,0.0
305,"Young, Moran and Wheeler",Financial Institution,Casino/Gambling,High,SG,0,0,0,0,0,0.0
306,Brown and Sons,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0.0
307,Hammond PLC,NGO,Defense/Arms,High,DE,0,0,0,0,1,0.0
308,Mcgrath-Carter,Financial Institution,Energy/Oil,High,CA,0,0,0,0,1,0.0
309,"Williams, Jordan and Holt",Corporate,Import/Export,Medium,DE,0,0,0,0,0,0.5
310,Walker-Hicks,NGO,Tech,Low,CA,0,1,0,0,0,0.0
311,White Ltd,NGO,Real Estate,Medium,AU,0,0,0,0,0,0.0
312,"Osborne, Wilson and James",Individual,Real Estate,Medium,LB,0,0,0,0,0,0.0
313,"Morgan, Taylor and Lester",NGO,Real Estate,Medium,AF,1,0,0,0,0,0.0
314,Stevens Ltd,Individual,Defense/Arms,High,LB,0,0,0,0,1,0.0
315,Wood PLC,Individual,Tech,Low,NL,0,0,0,0,0,0.0
